102,sweatshirt,informal,1100,m,2200,2,2023-10-29 13:11:51.164824
101,sweatshirt,informal,1000,s,2000,2,2023-10-29 13:19:49.930826
101,sweatshirt,informal,1000,s,3000,3,2023-10-29 13:22:50.425151
113,t-shirt,informal,1200,l,1200,1,2023-10-29 13:23:39.489724
116,planeshirt,formal,1200,m,2400,2,2023-10-29 13:32:02.978046
105,sweatshirt,informal,1400,xxl,4200,3,2023-10-29 18:11:19.328419
114,t-shirt,informal,1300,xl,2600,2,2023-10-29 18:25:45.369810
114,t-shirt,informal,1300,xl,2600,2,2023-10-29 18:26:48.038537
109,hoodie,informal,2300,xl,4600,2,2023-10-30 20:28:01.123850
102,sweatshirt,informal,1100,m,3300,3,2023-11-01 21:47:36.072452
117,planeshirt,formal,200,s,400,2,2023-11-02 20:43:47.908719
117,planeshirt,formal,200,s,360,2,2023-11-02 20:46:51.907688
112,t-shirt,informal,1100,xxl,2200,2,2023-11-02 20:49:00.396268
112,t-shirt,informal,1100,m,1980,2,2023-11-02 22:06:43.033092
101,sweatshirt,informal,1000,s,2000,2,2023-11-05 23:07:07.367804
101,sweatshirt,informal,1000,s,1800,2,2023-11-05 23:09:46.140566
102,sweatshirt,informal,1100,m,2970,3,2023-11-06 00:16:07.657872
115,planeshirt,informal,400,xxl,800,2,2023-11-06 00:17:01.787687
101,sweatshirt,informal,1000.0,s,1800.0,2,2023-11-18 18:40:38.975734
105,sweatshirt,informal,1400.0,xxl,4200.0,3,2023-11-18 18:41:42.196970
101,sweatshirt,informal,1000.0,s,1000.0,1,2023-11-18 18:48:45.580728
101,sweatshirt,informal,1000.0,s,1800.0,2,2023-11-18 18:50:22.936229
120,t-shirt,informal,2000.0,l,2000.0,1,2023-11-18 18:51:24.442215
108,hoodie,informal,2200.0,l,1980.0,1,2023-11-18 18:52:16.817000
118,planeshirt,formal,1700.0,xl,1700.0,1,2023-11-18 19:05:22.698997
118,planeshirt,formal,1700.0,xl,3060.0,2,2023-11-19 14:00:21.176447
104,sweatshirt,informal,1300.0,xl,2600.0,2,2023-11-19 14:09:54.281429
101,sweatshirt,informal,1000.0,s,1000.0,1,2023-11-19 14:10:51.691458
120,t-shirt,informal,2000.0,l,2000.0,1,2023-11-19 14:14:38.911348
104,sweatshirt,informal,1300.0,xl,1300.0,1,2023-11-19 14:19:46.541166
101,sweatshirt,informal,1000.0,s,1800.0,2,2024-01-16 11:30:01.599083
120,t-shirt,informal,2000.0,l,3600.0,2,2024-01-16 14:02:50.918473
211,hoodie,informal,1500.0,xl,1350.0,1,2024-01-19 14:17:12.562293
112,t-shirt,informal,1100.0,m,9900.0,9,2024-01-19 14:18:44.669805
103,sweatshirt,informal,1200.0,l,2160.0,2,2024-01-26 23:19:19.067292
115,planeshirt,informal,400.0,xxl,800.0,2,2024-02-15 17:37:48.243930
